"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"400301","LEWISTON-PORTER CSD","PK-12, UE, US","3617190","400301",5,"4590",2016
"400400","LOCKPORT CITY SD","PK-12, UE, US","3617670","400400",5,"4590",2016
"400601","NEWFANE CSD","PK-12, UE, US","3620760","400601",5,"4590",2016
"400701","NIAGARA-WHEATFIELD CSD","K-12, UE, US","3620850","400701",5,"4590",2016
"400800","NIAGARA FALLS CITY SD","PK-12, UE, US","3620820","400800",3,"4590",2016
"400900","NORTH TONAWANDA CITY SD","PK-12, UE, US","3621240","400900",5,"4590",2016
"401001","STARPOINT CSD","PK-12, UE, US","3628050","401001",5,"4590",2016
"401201","ROYALTON-HARTLAND CSD","PK-12","3625140","401201",5,"4590",2016
"401301","BARKER CSD","PK-12, UE","3603960","401301",5,"4590",2016
"401501","WILSON CSD","PK-12, UE, US","3631560","401501",5,"4590",2016
"410401","ADIRONDACK CSD","PK-12, UE, US","3605040","410401",4,"2290",2016
"410601","CAMDEN CSD","PK-12, UE, US","3606240","410601",4,"2590",2016
"411101","CLINTON CSD","K-12, UE","3607770","411101",5,"4190",2016
"411501","NEW HARTFORD CSD","K-12, UE, US","3620370","411501",6,"4190",2016
"411504","NY MILLS UFSD","K-12","3620610","411504",5,"4190",2016
"411603","SAUQUOIT VALLEY CSD","PK-12","3600002","411603",5,"4190",2016
"411701","REMSEN CSD","K-12, UE, US","3624360","411701",4,"4190",2016
"411800","ROME CITY SD","PK-12, UE, US","3624900","411800",3,"2590",2016
"411902","WATERVILLE CSD","K-12, UE","3630160","411902",5,"4190",2016
