AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT LIMITED ENGLISH PROFICIENT,NOT ECONOMICALLY DISADVANTAGED,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
101001040002,0.0,0.0,1.43,30.31,0.0,46.78,87.59,1.43,53.22,0.0,3.34,0.0,69.69,0.0,12.41,85.92,91.65,CHATHAM HIGH SCHOOL,10,COLUMBIA,2016
101300010001,0.0,9.9,24.85,56.57,2.42,46.67,82.02,7.27,53.33,0.0,1.41,55.96,43.43,0.0,17.98,50.1,81.41,HUDSON JR/SR HIGH SCHOOL,10,COLUMBIA,2016
101401040005,0.0,0.0,0.0,26.72,0.0,43.87,84.37,0.0,56.13,2.02,0.0,0.0,73.28,43.36,15.63,94.12,88.57,ICHABOD CRANE SENIOR HIGH SCHOOL,10,COLUMBIA,2016
101601040003,0.0,0.0,0.0,38.61,0.0,49.37,26.58,0.0,50.63,0.0,0.0,0.0,61.39,0.0,3.16,15.82,93.67,NEW LEBANON JUNIOR-SENIOR HIGH SCH,10,COLUMBIA,2016
110101040002,0.0,0.0,0.0,50.94,0.0,49.69,83.65,0.0,50.31,0.0,0.0,0.0,49.06,0.0,16.35,0.0,96.23,CINCINNATUS HIGH SCHOOL,11,CORTLAND,2016
110200010011,0.0,0.0,5.23,40.18,0.0,48.34,86.99,1.28,51.66,0.0,0.0,0.0,59.82,0.0,13.01,89.54,78.57,CORTLAND JUNIOR-SENIOR HIGH SCHOOL,11,CORTLAND,2016
110304040002,0.0,0.0,0.0,32.26,0.0,43.87,80.65,0.0,56.13,0.0,0.0,0.0,67.74,0.0,19.35,0.0,92.9,MCGRAW SECONDARY SCHOOL,11,CORTLAND,2016
110701060001,0.0,0.0,0.0,29.99,0.0,44.91,83.21,0.0,55.09,0.0,0.0,0.0,70.01,0.0,16.79,23.82,91.25,HOMER SENIOR HIGH SCHOOL,11,CORTLAND,2016
110901040001,0.0,0.0,0.0,43.58,0.0,50.58,81.71,0.0,49.42,0.0,0.0,0.0,56.42,0.0,18.29,0.0,91.05,MARATHON HIGH SCHOOL,11,CORTLAND,2016
120102040001,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.02,ANDES CENTRAL SCHOOL,12,DELAWARE,2016
120301040001,0.0,0.0,0.0,40.19,0.0,48.6,46.73,0.0,51.4,0.0,0.0,0.0,59.81,0.0,14.95,0.0,94.39,DOWNSVILLE CENTRAL SCHOOL,12,DELAWARE,2016
120401040001,0.0,0.0,0.0,53.0,0.0,47.0,22.0,0.0,53.0,0.0,0.0,0.0,47.0,0.0,5.0,0.0,88.0,CHARLOTTE VALLEY SCHOOL,12,DELAWARE,2016
120501040002,0.0,0.0,0.0,33.17,0.0,53.96,84.16,0.0,46.04,0.0,0.0,0.0,66.83,0.0,15.84,53.96,93.56,DELAWARE ACADEMY HIGH SCHOOL,12,DELAWARE,2016
120701040001,0.0,0.0,0.0,60.0,0.0,37.78,73.33,0.0,62.22,0.0,0.0,0.0,40.0,0.0,26.67,0.0,96.67,FRANKLIN CENTRAL SCHOOL,12,DELAWARE,2016
120906040002,0.0,0.0,0.0,54.3,0.0,60.26,35.76,0.0,39.74,0.0,0.0,0.0,45.7,0.0,7.28,0.0,88.08,HANCOCK JUNIOR-SENIOR HS,12,DELAWARE,2016
121401040001,0.0,0.0,0.0,47.9,0.0,54.62,24.37,7.56,45.38,0.0,0.0,0.0,52.1,0.0,4.2,72.27,87.39,MARGARETVILLE CENTRAL SCHOOL,12,DELAWARE,2016
121502040001,0.0,0.0,0.0,39.2,0.0,59.2,76.8,0.0,40.8,0.0,0.0,0.0,60.8,0.0,23.2,0.0,93.6,ROXBURY CENTRAL SCHOOL,12,DELAWARE,2016
121601060006,0.0,0.0,0.0,54.84,0.0,48.39,84.16,0.0,51.61,0.0,0.0,0.0,45.16,0.0,15.84,89.74,87.68,SIDNEY HIGH SCHOOL,12,DELAWARE,2016
